pergunta,resposta
"Qual é o horário de funcionamento?","Funcionamos de segunda a sexta das 9h às 18h, e aos sábados das 9h às 14h."
"Como posso cancelar meu pedido?","Você pode cancelar seu pedido até 24h após a compra através do nosso site ou entrando em contato conosco."
"Quais são as formas de pagamento?","Aceitamos cartão de crédito, débito, PIX, boleto bancário e transferência bancária."
"Quanto tempo demora para entregar?","A entrega é realizada em até 5 dias úteis para todo o Brasil."
"Vocês entregam em todo o Brasil?","Sim, entregamos em todo o território nacional através dos Correios."
"Como faço para rastrear meu pedido?","Após o envio, você receberá um código de rastreamento por email para acompanhar sua encomenda."
"Posso trocar um produto?","Sim, você pode trocar produtos em até 30 dias após a compra, desde que estejam em perfeitas condições."
"Vocês têm loja física?","Não, trabalhamos apenas com vendas online através do nosso site."
"Como entro em contato com vocês?","Você pode entrar em contato através do email contato@exemplo.com ou WhatsApp (11) 99999-9999."
"Há desconto para compras em grande quantidade?","Sim, oferecemos descontos especiais para compras acima de R$ 500,00. Entre em contato conosco para mais informações."
"Vocês emitem nota fiscal?","Sim, emitimos nota fiscal para todas as compras realizadas."
"Como faço para me cadastrar?","Você pode se cadastrar diretamente no nosso site clicando em 'Criar Conta' e preenchendo seus dados."
"Esqueci minha senha, como recuperar?","Clique em 'Esqueci minha senha' na página de login e siga as instruções enviadas para seu email."
"Posso alterar meus dados pessoais?","Sim, você pode alterar seus dados pessoais acessando 'Minha Conta' após fazer login."
"Vocês têm programa de fidelidade?","Sim, temos um programa de pontos onde você ganha pontos a cada compra e pode trocar por descontos." 
